COM;Pot_Cont;Escalao;ORD;COD_Proposta;Contagem;TF;TV|TVFV|TVP;TVV|TVC;TVVz;TFGN;TVGN
ALFAENERGIA;10,35;;;ALFAENERGIA_01;3;1,0042;0,3549;0,1468;0,1229;;
ALFAENERGIA;13,8;;;ALFAENERGIA_01;3;1,2718;0,3549;0,1468;0,1229;;
ALFAENERGIA;17,25;;;ALFAENERGIA_01;3;1,5367;0,3549;0,1468;0,1229;;
ALFAENERGIA;20,7;;;ALFAENERGIA_01;3;1,8399;0,3549;0,1468;0,1229;;
ALFAENERGIA;27,6;;;ALFAENERGIA_01;3;2,3967;0,3548;0,1588;0,1221;;
ALFAENERGIA;34,5;;;ALFAENERGIA_01;3;2,9086;0,3548;0,1588;0,1221;;
ALFAENERGIA;41,4;;;ALFAENERGIA_01;3;3,4204;0,3548;0,1588;0,1221;;
ALFAENERGIA;1,15;;;ALFAENERGIA_02;3;0,2038;0,354666878;0,146566878;0,122666878;;
ALFAENERGIA;2,3;;;ALFAENERGIA_02;3;0,3008;0,354666878;0,146566878;0,122666878;;
ALFAENERGIA;3,45;;;ALFAENERGIA_02;3;0,4142;0,354666878;0,146566878;0,122666878;;
ALFAENERGIA;4,6;;;ALFAENERGIA_02;3;0,518;0,354666878;0,146566878;0,122666878;;
ALFAENERGIA;5,75;;;ALFAENERGIA_02;3;0,6095;0,354666878;0,146566878;0,122666878;;
ALFAENERGIA;6,9;;;ALFAENERGIA_02;3;0,7393;0,354666878;0,146566878;0,122666878;;
ALFAENERGIA;10,35;;;ALFAENERGIA_02;3;1,0042;0,354666878;0,146566878;0,122666878;;
ALFAENERGIA;13,8;;;ALFAENERGIA_02;3;1,2718;0,354666878;0,146566878;0,122666878;;
ALFAENERGIA;17,25;;;ALFAENERGIA_02;3;1,5367;0,354666878;0,146566878;0,122666878;;
ALFAENERGIA;20,7;;;ALFAENERGIA_02;3;1,8399;0,354666878;0,146566878;0,122666878;;
ALFAENERGIA;27,6;;;ALFAENERGIA_02;3;2,3967;0,354566878;0,158566878;0,121866878;;
ALFAENERGIA;34,5;;;ALFAENERGIA_02;3;2,9086;0,354566878;0,158566878;0,121866878;;
ALFAENERGIA;41,4;;;ALFAENERGIA_02;3;3,4204;0,354566878;0,158566878;0,121866878;;
ALFAENERGIA;1,15;;;ALFAENERGIA_04;3;0,2038;0,354666878;0,146566878;0,122666878;;
ALFAENERGIA;2,3;;;ALFAENERGIA_04;3;0,3008;0,354666878;0,146566878;0,122666878;;
ALFAENERGIA;3,45;;;ALFAENERGIA_04;3;0,4142;0,354666878;0,146566878;0,122666878;;
ALFAENERGIA;4,6;;;ALFAENERGIA_04;3;0,518;0,354666878;0,146566878;0,122666878;;
ALFAENERGIA;5,75;;;ALFAENERGIA_04;3;0,6095;0,354666878;0,146566878;0,122666878;;
ALFAENERGIA;6,9;;;ALFAENERGIA_04;3;0,7393;0,354666878;0,146566878;0,122666878;;
ALFAENERGIA;10,35;;;ALFAENERGIA_04;3;1,0042;0,354666878;0,146566878;0,122666878;;
ALFAENERGIA;13,8;;;ALFAENERGIA_04;3;1,2718;0,354666878;0,146566878;0,122666878;;
ALFAENERGIA;17,25;;;ALFAENERGIA_04;3;1,5367;0,354666878;0,146566878;0,122666878;;
ALFAENERGIA;20,7;;;ALFAENERGIA_04;3;1,8399;0,354666878;0,146566878;0,122666878;;
ALFAENERGIA;27,6;;;ALFAENERGIA_04;3;2,3967;0,354566878;0,158566878;0,121866878;;
ALFAENERGIA;34,5;;;ALFAENERGIA_04;3;2,9086;0,354566878;0,158566878;0,121866878;;
ALFAENERGIA;41,4;;;ALFAENERGIA_04;3;3,4204;0,354566878;0,158566878;0,121866878;;
AUDAX;1,15;1;;AUDAX_01;1;;;;;0,1807125;0,112597452769935
AUDAX;2,3;2;;AUDAX_01;1;;;;;0,21641875;0,100885452769934
AUDAX;3,45;3;;AUDAX_01;1;;;;;0,26080625;0,0911564527699345
AUDAX;4,6;4;;AUDAX_01;1;;;;;0,306252704723737;0,0899704527699345
AUDAX;1,15;1;;AUDAX_02;1;;;;;0,3147;0,1185
AUDAX;2,3;2;;AUDAX_02;1;;;;;0,3781;0,1068
AUDAX;3,45;3;;AUDAX_02;1;;;;;0,4435;0,0971
AUDAX;4,6;4;;AUDAX_02;1;;;;;0,4886;0,0929
AUDAX;1,15;1;;AUDAX_03;1;0,3159;0,1719;;;;
AUDAX;2,3;2;;AUDAX_03;1;0,3688;0,1719;;;;
AUDAX;3,45;3;;AUDAX_03;1;0,4217;0,1719;;;;
AUDAX;4,6;4;;AUDAX_03;1;0,4746;0,1719;;;;
AUDAX;5,75;;;AUDAX_03;1;0,5275;0,1719;;;;
AUDAX;6,9;;;AUDAX_03;1;0,5804;0,1719;;;;
AUDAX;10,35;;;AUDAX_03;1;0,7391;0,1719;;;;
AUDAX;13,8;;;AUDAX_03;1;0,8978;0,1719;;;;
AUDAX;17,25;;;AUDAX_03;1;1,0565;0,1719;;;;
AUDAX;20,7;;;AUDAX_03;1;1,2152;0,1719;;;;
AUDAX;1,15;1;;AUDAX_04;1;0,348790410958904;0,153667784292823;;;;
AUDAX;2,3;2;;AUDAX_04;1;0,401690410958904;0,153667784292823;;;;
AUDAX;3,45;3;;AUDAX_04;1;0,454590410958904;0,153667784292823;;;;
AUDAX;4,6;4;;AUDAX_04;1;0,507490410958904;0,153667784292823;;;;
AUDAX;5,75;;;AUDAX_04;1;0,560390410958904;0,153667784292823;;;;
AUDAX;6,9;;;AUDAX_04;1;0,613290410958904;0,153667784292823;;;;
AUDAX;10,35;;;AUDAX_04;1;0,870620547945205;0,153667784292823;;;;
AUDAX;13,8;;;AUDAX_04;1;1,02932054794521;0,153667784292823;;;;
AUDAX;17,25;;;AUDAX_04;1;1,18802054794521;0,153667784292823;;;;
AUDAX;20,7;;;AUDAX_04;1;1,34672054794521;0,153667784292823;;;;
AUDAX;1,15;;;AUDAX_03;2;0,3159;0,1901;0,1346;;;
AUDAX;2,3;;;AUDAX_03;2;0,3688;0,1901;0,1346;;;
AUDAX;3,45;;;AUDAX_03;2;0,4217;0,1901;0,1346;;;
AUDAX;4,6;;;AUDAX_03;2;0,4746;0,1901;0,1346;;;
AUDAX;5,75;;;AUDAX_03;2;0,5275;0,1901;0,1346;;;
AUDAX;6,9;;;AUDAX_03;2;0,5804;0,1901;0,1346;;;
AUDAX;10,35;;;AUDAX_03;2;0,7391;0,1901;0,1346;;;
AUDAX;13,8;;;AUDAX_03;2;0,8978;0,1901;0,1346;;;
AUDAX;17,25;;;AUDAX_03;2;1,0565;0,1901;0,1346;;;
AUDAX;20,7;;;AUDAX_03;2;1,2152;0,1901;0,1346;;;
AUDAX;3,45;;;AUDAX_04;2;0,454590410958904;0,176667784292823;0,108567784292823;;;
AUDAX;4,6;;;AUDAX_04;2;0,507490410958904;0,176667784292823;0,108567784292823;;;
AUDAX;5,75;;;AUDAX_04;2;0,560390410958904;0,176667784292823;0,108567784292823;;;
AUDAX;6,9;;;AUDAX_04;2;0,613290410958904;0,176667784292823;0,108567784292823;;;
AUDAX;10,35;;;AUDAX_04;2;0,870620547945205;0,176667784292823;0,108567784292823;;;
AUDAX;13,8;;;AUDAX_04;2;1,02932054794521;0,176667784292823;0,108567784292823;;;
AUDAX;17,25;;;AUDAX_04;2;1,18802054794521;0,176667784292823;0,108567784292823;;;
AUDAX;20,7;;;AUDAX_04;2;1,34672054794521;0,176667784292823;0,108567784292823;;;
AUDAX;1,15;;;AUDAX_03;3;0;0;0;0;;
AUDAX;2,3;;;AUDAX_03;3;0;0;0;0;;
AUDAX;3,45;;;AUDAX_03;3;0,4217;0,3671;0,14;0,1346;;
AUDAX;4,6;;;AUDAX_03;3;0,4746;0,3671;0,14;0,1346;;
AUDAX;5,75;;;AUDAX_03;3;0,5275;0,3671;0,14;0,1346;;
AUDAX;6,9;;;AUDAX_03;3;0,5804;0,3671;0,14;0,1346;;
AUDAX;10,35;;;AUDAX_03;3;0,7391;0,3671;0,14;0,1346;;
AUDAX;13,8;;;AUDAX_03;3;0,8978;0,3671;0,14;0,1346;;
AUDAX;17,25;;;AUDAX_03;3;1,0565;0,3671;0,14;0,1346;;
AUDAX;20,7;;;AUDAX_03;3;1,2152;0,3671;0,14;0,1346;;
AUDAX;27,6;;;AUDAX_03;3;1,4829;0,361;0,1496;0,1341;;
AUDAX;34,5;;;AUDAX_03;3;1,7879;0,361;0,1496;0,1341;;
AUDAX;41,4;;;AUDAX_03;3;2,0929;0,361;0,1496;0,1341;;
AUDAX;3,45;;;AUDAX_04;3;0,454590410958904;0,340567784292823;0,132467784292823;0,108567784292823;;
AUDAX;4,6;;;AUDAX_04;3;0,507490410958904;0,340567784292823;0,132467784292823;0,108567784292823;;
